Zipcode,Site ID's,City,Population,Density,Occupancy,Value,Income
59421,"SITE_00885
SITE_00914",Cascade MT,1831,3,0.56,193.8,52.2
59601,"SITE_00876
SITE_00882
SITE_00959
SITE_00960
SITE_00966
SITE_00979
SITE_01005
SITE_01019
SITE_01036",Helena MT,29283,212,0.94,199.9,52.2
59715,"SITE_00862
SITE_00863
SITE_00941
SITE_00970
SITE_01004
SITE_01011
SITE_01056
SITE_01058
SITE_01065",Bozeman MT,31567,68,0.89,328.5,47.9
59759,"SITE_00905
SITE_00926
SITE_00934",Whitehall MT,3643,8,0.86,165.4,50.6
59840,"SITE_00869
SITE_00877
SITE_00919
SITE_00925
SITE_00968",Hamilton MT,13052,28,0.88,204.7,33.7
83338,SITE_00374,Jerome ID,19782,72,0.93,137.5,40.1
83352,,Shoshone ID,3330,15,0.77,118.6,41.1
83501,"SITE_00276
SITE_00291
SITE_00293
SITE_00294
SITE_00300
SITE_00301
SITE_00308
SITE_00313
SITE_00324
SITE_00329
BLDG_00106
BLDG_00108
BLDG_0010",Lewiston ID,34230,127,0.94,167.4,46
83605,"SITE_00339
SITE_00373
SITE_00395
SITE_00409",Caldwell ID,39649,1423,0.91,98.1,37.7
83617,"SITE_00183
SITE_00296",Emmett ID,15422,66,0.91,144.5,42.4
83634,"SITE_00331
SITE_00353",Kuna ID,24494,164,0.93,136.4,59.2
83642,"SITE_00316
SITE_00319
SITE_00364
SITE_00394",Meridian ID,37008,901,0.94,184.3,57
83647,"SITE_00252
SITE_00330
SITE_00377
SITE_00382",Mountain Home ID,20789,14,0.85,137.5,44.9
83687,"SITE_00252
SITE_00330
SITE_00377
SITE_00382",Nampa ID,29697,597,0.9,124,42.8
83702,"SITE_00181
SITE_00333
SITE_00343
SITE_00356
BLDG_00076",Boise ID,22293,548,0.89,286.1,43.7
83712,,Boise ID,8148,355,0.94,294.4,65
83815,"SITE_00222
SITE_00269
SITE_00417",Coeur D Alene ID,31015,1915,0.93,183,44.7
83843,"SITE_00204
SITE_00270
SITE_00272
SITE_00273
SITE_00312
SITE_00323
SITE_00325
SITE_00327
SITE_00388
SITE_00418
",Moscow ID,25866,214,0.92,198.5,35
83864,"SITE_00216
SITE_00217
SITE_00232
BLDG_00092",Sandpoint ID,17076,37,0.77,241.9,43
97008,"SITE_01387
SITE_01392
SITE_01847
BLDG_00402",Beaverton OR,28969,5842,0.94,270.1,52.9
97035,"SITE_01393
BLDG_00405",Lake Oswego OR,23912,3964,0.94,412.8,72.1
97111,,Carlton OR,3156,81,0.91,192.5,65
97115,,Dundee OR,4139,348,0.94,249.6,69.5
97123,,Hillsboro OR,44537,830,0.95,236.8,64.5
97128,"SITE_01334
SITE_01375
SITE_01376
SITE_01381
SITE_01513
BLDG_00393
BLDG_00394
BLDG_00398",Mcminnville OR,36141,338,0.94,213.2,44.5
97218,SITE_01531,Portland OR,14561,2084,0.94,250.8,47
97219,SITE_01536,Portland OR,38709,3293,0.94,344.8,77.7
97220,"SITE_01431
SITE_01470",Portland OR,28495,3965,0.94,205.5,47.3
97222,"SITE_01456
SITE_01467
SITE_01510
BLDG_00431",Portland OR,34979,4134,0.93,227.3,49
97225,"SITE_01365
SITE_01443
SITE_01875
BLDG_00383
BLDG_00522",Portland OR,24176,3663,0.93,398.6,71.7
97230,SITE_01525,Portland OR,39752,2865,0.94,230.5,46.3
97232,,Portland OR,11472,6112,0.93,445.5,45
97239,"SITE_01371
SITE_01403
SITE_01417
SITE_01501
SITE_01879
BLDG_00389
BLDG_00415",Portland OR,14150,3984,0.88,432.3,74.8
97301,"SITE_01245
SITE_01379
SITE_01471
BLDG_00341
BLDG_00427
_",Salem OR,53518,4622,0.92,150.1,37
97317,,Salem OR,24355,443,0.94,208.3,50.2
97322,"SITE_01399
SITE_01433
SITE_01853
SITE_01855
SITE_01857
SITE_01882
BLDG_00411
BLDG_00528",Albany OR,34039,546,0.94,161.9,42.4
97352,SITE_01843,Jefferson OR,5604,128,0.94,195.9,47.4
97355,"SITE_01824
SITE_01839
SITE_01848
SITE_01849
SITE_01850
SITE_01858",Lebanon OR,28613,137,0.91,166.7,46.6
97361,,Monmouth OR,11258,81,0.93,215.8,38.8
97366,,South Beach OR,1460,141,0.66,242.9,53.1
97405,"SITE_01272
SITE_01274
SITE_01275
SITE_01299
SITE_01306
SITE_01308
SITE_01311
SITE_01317
SITE_01344
SITE_01425
SITE_01430
SITE_01444
SITE_01452
SITE_01454
SITE_01493
SITE_01887
BLDG_00365
BLDG_00366
BLDG_00533",Eugene OR,44645,294,0.95,279.9,56.2
97411,"SITE_01277
SITE_01307
SITE_01316
SITE_01345
BLDG_00368",Bandon OR,6953,52,0.82,231.3,38.5
97415,,Brookings OR,14051,94,0.84,241.5,42
98005,"SITE_00799
SITE_00801
SITE_00805
SITE_00814
BLDG_00194
BLDG_00196
BLDG_00200
BLDG_00207",Bellevue WA,17714,2361,0.93,568.7,84.7
98012,"SITE_01090
SITE_01134
SITE_01135
SITE_01136
SITE_01752
BLDG_00277
BLDG_00278
BLDG_00279
BLDG_00466",Bothell WA,51136,3338,0.94,350,88.2
98021,"SITE_01088
SITE_01208
SITE_01705
SITE_01721
SITE_01795
SITE_02060
BLDG_00499
_",Bothell WA,26722,2634,0.95,351.3,92.1
98033,"SITE_00791
SITE_00793
SITE_01139
SITE_01206
SITE_01798
SITE_01976
BLDG_00186
BLDG_00188
BLDG_00281
BLDG_00501",Kirkland WA,34338,3696,0.91,528.3,103.2
98034,"SITE_00808
SITE_00816
SITE_01753
SITE_01759
SITE_01799
BLDG_00201
BLDG_00209
BLDG_00467
BLDG_00472
BLDG_00502",Kirkland WA,40407,4428,0.94,364.9,77.6
98043,"SITE_00002
SITE_01082
SITE_01100",Mountlake Terrace WA,19943,4886,0.95,261,58.8
98058,SITE_01920,Renton WA,41938,2215,0.95,302.2,77.7
98059,SITE_02049,Renton WA,34463,1725,0.95,363.5,91.4
98087,"SITE_00044
SITE_01106
SITE_01142
SITE_01143
SITE_01144
SITE_01145
SITE_01727
SITE_01802
BLDG_00005
BLDG_00250
BLDG_00284
BLDG_00285
BLDG_00286
BLDG_00287",Lynnwood WA,29976,5384,0.94,273.8,63.6
98105,"SITE_01149
SITE_01150
SITE_01550
SITE_01578
SITE_01624
SITE_01641
SITE_01922
BLDG_00291
BLDG_00292
",Seattle WA,43924,10643,0.92,613.9,45.5
98106,"SITE_00051
SITE_00144
SITE_01572
SITE_01608
SITE_01636
SITE_01644
SITE_01657",Seattle WA,22873,4161,0.9,281.7,57.8
98107,"SITE_00056
SITE_00140
SITE_01152
SITE_01615
SITE_01738
SITE_01909
BLDG_00015
BLDG_00455",Seattle WA,21147,9602,0.91,447.7,67.5
98108,"SITE_00059
SITE_00154
SITE_01547
SITE_01557
SITE_01558
SITE_01562
SITE_01584
SITE_01595
SITE_01637
SITE_01645
SITE_01678
SITE_01747
SITE_02052
BLDG_00541
_",Seattle WA,22374,2989,0.93,326.5,52.2
98110,"SITE_01928
SITE_01929
SITE_01935
SITE_01999",Bainbridge Island WA,23025,834,0.89,551.7,95.4
98112,"SITE_00053
SITE_00142
SITE_01723
SITE_01908
BLDG_00012
BLDG_00446",Seattle WA,21077,6667,0.93,754.2,96
98115,"SITE_00054
SITE_00055
SITE_00171
SITE_00173
SITE_01155
SITE_01166
SITE_01214
SITE_01217
SITE_01541
SITE_01567
SITE_01577
SITE_01580
SITE_01589
SITE_01606
SITE_01640
SITE_01648
SITE_01661
SITE_02048
BLDG_00013
BLDG_00014
BLDG_00295
BLDG_00305",Seattle WA,46206,7018,0.94,492.7,84.1
98117,"SITE_01156
SITE_01198
SITE_01570
SITE_01635
SITE_01664
SITE_01669
SITE_01674
SITE_01893
BLDG_00296
_",Seattle WA,31365,7953,0.96,463.5,86.9
98122,"SITE_00061
SITE_00062
SITE_00809
SITE_01159
SITE_01160
SITE_01161
SITE_01594
SITE_01607
SITE_01652
SITE_01712
SITE_01726
SITE_01812
SITE_01813
BLDG_00202
BLDG_00299
BLDG_00300
BLDG_00301
BLDG_00439
BLDG_00447
BLDG_00512
BLDG_00513",Seattle WA,31454,13594,0.91,407.6,53.5
98133,"SITE_00067
SITE_00068
SITE_00135
SITE_00167
SITE_01552
SITE_01571
SITE_01573
SITE_01610
SITE_01617
SITE_01625
SITE_01626
SITE_01629
SITE_01659
SITE_01665
SITE_01679
SITE_01722
SITE_01767
BLDG_00023
BLDG_0047",Seattle WA,44555,6279,0.92,326.4,51.4
